community_district,council_district,Year of Completion,ZoningDst1,FloorsProp,ClassANet_sum,AllCountedUnits_sum
103.0,2.0,1970,C1-6A,6.0,6.0,0.0
103.0,2.0,1970,C1-6A,7.0,160.0,0.0
103.0,2.0,1970,C1-6A,8.0,213.0,0.0
103.0,2.0,1970,C1-6A,17.0,0.0,0.0
103.0,2.0,1970,C1-7A,4.0,3.0,0.0
103.0,2.0,1970,C1-7A,6.0,0.0,0.0
103.0,2.0,1970,C1-9A,2.0,0.0,0.0
103.0,2.0,1970,C1-9A,18.0,47.0,0.0
103.0,2.0,1970,C2-5,5.0,-2.0,0.0
103.0,2.0,1970,C5-3,4.0,0.0,0.0
103.0,2.0,1970,C6-1,4.0,8.0,0.0
103.0,2.0,1970,C6-1,5.0,8.0,0.0
103.0,2.0,1970,C6-1,6.0,1.0,0.0
103.0,2.0,1970,C6-1,7.0,2.0,0.0
103.0,2.0,1970,C6-1,8.0,0.0,0.0
103.0,2.0,1970,C6-1,9.0,102.0,0.0
103.0,2.0,1970,C6-1,10.0,30.0,0.0
103.0,2.0,1970,C6-1,12.0,0.0,0.0
103.0,2.0,1970,C6-1,13.0,60.0,0.0
103.0,2.0,1970,C6-1,15.0,0.0,0.0
103.0,2.0,1970,C6-1,16.0,0.0,0.0
103.0,2.0,1970,C6-1,21.0,0.0,0.0
103.0,2.0,1970,C6-2A,4.0,0.0,0.0
103.0,2.0,1970,C6-2A,6.0,17.0,0.0
103.0,2.0,1970,C6-2A,10.0,52.0,0.0
103.0,2.0,1970,C6-2A,12.0,-4.0,0.0
103.0,2.0,1970,C6-2A,13.0,0.0,0.0
103.0,2.0,1970,C6-2A,26.0,1.0,0.0
103.0,2.0,1970,C6-3,16.0,0.0,0.0
103.0,2.0,1970,R6B,6.0,5.0,0.0
103.0,2.0,1970,R7-2,2.0,0.0,0.0
103.0,2.0,1970,R7-2,3.0,-2.0,0.0
103.0,2.0,1970,R7-2,4.0,-9.0,0.0
103.0,2.0,1970,R7-2,5.0,23.0,0.0
103.0,2.0,1970,R7-2,6.0,22.0,0.0
103.0,2.0,1970,R7-2,8.0,148.0,0.0
103.0,2.0,1970,R7-2,10.0,0.0,0.0
103.0,2.0,1970,R7-2,12.0,248.0,0.0
103.0,2.0,1970,R7A,2.0,2.0,0.0
103.0,2.0,1970,R7A,3.0,1.0,0.0
